fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,3,523,370,338,266,0,0,0,0,0,perlbench_s
0,0,499,494,253,254,0,0,0,0,0,perlbench_s
0,7,422,350,429,292,0,0,0,0,0,perlbench_s
0,6,459,327,421,287,0,0,0,0,0,perlbench_s
0,0,440,530,265,265,0,0,0,0,0,perlbench_s
0,12,435,143,582,328,0,0,0,0,0,perlbench_s
0,15,459,46,659,321,0,0,0,0,0,perlbench_s
0,15,450,53,657,325,0,0,0,0,0,perlbench_s
0,14,445,63,645,333,0,0,0,0,0,perlbench_s
0,12,482,81,592,333,0,0,0,0,0,perlbench_s
0,11,507,330,444,208,0,0,0,0,0,perlbench_s
0,14,482,47,638,319,0,0,0,0,0,perlbench_s
0,11,452,89,596,352,0,0,0,0,0,perlbench_s
0,0,428,10,530,532,0,0,0,0,0,perlbench_s
0,0,486,20,497,497,0,0,0,0,0,perlbench_s
0,14,450,53,645,338,0,0,0,0,0,perlbench_s
0,8,565,445,327,155,0,0,0,0,0,perlbench_s
0,14,461,66,637,322,0,0,0,0,0,perlbench_s
0,12,453,198,552,285,0,0,0,0,0,perlbench_s
0,10,481,115,554,340,0,0,0,0,0,perlbench_s
0,2,689,627,115,67,0,0,0,0,0,perlbench_s
0,2,664,693,92,49,0,0,0,0,0,perlbench_s
0,1,706,683,66,44,0,0,0,0,0,perlbench_s
0,0,672,828,0,0,0,0,0,0,0,perlbench_s
0,0,666,834,0,0,0,0,0,0,0,perlbench_s
0,9,479,451,380,181,0,0,0,0,0,perlbench_s
0,0,725,762,6,7,0,0,0,0,0,perlbench_s
0,0,730,770,0,0,0,0,0,0,0,perlbench_s
0,4,713,499,186,98,0,0,0,0,0,perlbench_s
0,0,731,769,0,0,0,0,0,0,0,perlbench_s
0,0,730,756,7,7,0,0,0,0,0,perlbench_s
0,1,731,678,56,34,0,0,0,0,0,perlbench_s
0,0,740,760,0,0,0,0,0,0,0,perlbench_s
0,0,754,704,21,21,0,0,0,0,0,perlbench_s
0,1,681,754,43,21,0,0,0,0,0,perlbench_s
0,0,726,770,2,2,0,0,0,0,0,perlbench_s
0,1,728,669,62,40,0,0,0,0,0,perlbench_s
0,0,743,757,0,0,0,0,0,0,0,perlbench_s
0,0,720,766,7,7,0,0,0,0,0,perlbench_s
0,1,729,678,57,35,0,0,0,0,0,perlbench_s
0,0,747,753,0,0,0,0,0,0,0,perlbench_s
0,0,761,697,21,21,0,0,0,0,0,perlbench_s
0,1,701,734,43,21,0,0,0,0,0,perlbench_s
0,0,734,762,2,2,0,0,0,0,0,perlbench_s
0,1,718,679,62,40,0,0,0,0,0,perlbench_s
0,0,740,760,0,0,0,0,0,0,0,perlbench_s
0,0,725,761,7,7,0,0,0,0,0,perlbench_s
0,7,635,382,302,174,0,0,0,0,0,perlbench_s
0,15,467,60,657,301,0,0,0,0,0,perlbench_s
0,10,638,85,490,277,0,0,0,0,0,perlbench_s
0,3,746,523,147,81,0,0,0,0,0,perlbench_s
0,11,509,117,550,313,0,0,0,0,0,perlbench_s
0,14,457,42,633,354,0,0,0,0,0,perlbench_s
0,9,337,30,477,252,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,16,365,117,673,329,0,0,0,0,0,perlbench_s
0,5,628,402,291,174,0,0,0,0,0,perlbench_s
0,4,661,445,241,149,0,0,0,0,0,perlbench_s
0,3,526,373,332,266,0,0,0,0,0,perlbench_s
0,0,502,491,253,254,0,0,0,0,0,perlbench_s
0,7,435,349,423,286,0,0,0,0,0,perlbench_s
0,6,459,323,423,289,0,0,0,0,0,perlbench_s
0,0,444,524,266,266,0,0,0,0,0,perlbench_s
0,12,434,154,572,328,0,0,0,0,0,perlbench_s
